0,cBbd,0.37,2,24
1,eBba,0.33,2,24
2,FDAa,0.34,2,24
3,bFDE,0.46,599,6591
4,EfDE,1.79,6684,73526
5,CcCd,0.33,2,24
6,bdEc,0.53,874,9616
7,DAAF,0.33,5,57
8,cdda,0.34,7,79
9,aBAE,0.39,43,475
10,feEa,0.36,2,24
11,cAaa,0.35,2,24
12,DEAa,0.33,2,24
13,FeAC,0.34,4,46
14,Bdab,5.50,22838,251220
15,DfDF,0.38,105,1157
16,ACDE,0.95,2490,27392
17,BAbD,0.37,100,1102
18,EdEe,0.34,2,24
19,FdEe,0.34,2,24
20,cAbA,1.68,6174,67916
21,FdDa,0.33,2,24
22,AdBA,1.57,5680,62482
23,EDdE,0.34,2,24
24,CfBB,0.34,34,376
25,FBFb,0.38,151,1663
26,BCde,0.39,292,3214
27,bBeA,0.34,2,24
28,DCaB,0.50,782,8604
29,FdaD,0.41,371,4083
30,bcAa,0.35,2,24
31,FFfF,0.33,2,24
32,ffdB,0.34,4,46
33,FefE,0.34,0,1
34,eDcD,0.66,1524,16766
35,dbbD,0.35,2,24
36,dAdF,0.35,15,167
37,fCdC,0.66,1524,16766
38,CbED,0.36,130,1432
39,CCCA,0.34,2,24
40,beBF,0.35,84,926
41,CCFE,0.34,4,46
42,FBDF,1.09,3504,38546
43,debC,0.33,4,46
44,ECdB,0.33,11,123
45,fAea,1.67,6160,67762
46,ABef,0.34,11,123
47,efDF,3.75,15513,170645
48,FCFa,0.34,20,222
49,DfeE,0.33,2,24
50,BAdc,0.33,4,46
51,DdBF,0.34,2,24
52,CADB,0.33,4,46
53,ccdd,0.34,4,46
54,FFfb,0.33,2,24
55,Bbfc,0.33,2,24
56,bdfa,0.87,2490,27392
57,AbdC,0.37,168,1850
58,dEcf,0.37,130,1432
59,EfbD,0.34,4,46
60,BAEA,1.23,4119,45311
61,DBaf,0.84,2351,25863
62,fDeB,0.34,4,46
63,DCFC,0.34,12,134
64,FeaD,0.95,2850,31352
65,CeEA,0.33,2,24
66,dcBf,0.46,572,6294
67,aeCF,0.34,4,46
68,fCFf,0.34,2,24
69,BDfF,0.34,2,24
70,EaFd,0.34,4,46
71,bbff,0.34,4,46
72,dBdF,0.34,4,46
73,fBee,0.34,45,497
74,fEaE,1.67,6149,67641
75,dCca,0.33,2,24
76,CedF,0.35,59,651
77,BDFF,2.89,11812,129934
78,eFbC,0.62,1308,14390
79,eAdf,0.41,368,4050
80,fBfA,0.34,15,167
81,bfCD,0.41,361,3973
82,dadf,0.34,20,222
83,BfDA,0.34,4,46
84,CDCb,0.34,20,222
85,cdFE,0.34,11,123
86,BfDB,0.34,15,167
87,DBfC,0.52,874,9616
88,ddFB,0.34,4,46
89,BfCf,0.67,1581,17393
90,cBeB,0.66,1524,16766
91,FEFB,0.33,4,46
92,eDab,0.36,130,1432
93,AceC,4.91,20767,228439
94,CEFe,0.34,2,24
95,dbBc,0.33,2,24
96,bacd,0.66,1516,16678
97,FEaa,2.90,11812,129934
98,EEaE,0.35,29,321
99,BaAC,0.34,2,24
