id,scramble,time,numexp,numgen
0,EAeAEede,0.86,1932,21254
1,fEFFAcBd,1660.48,5598380,61582182
2,aDDAFfAa,0.51,623,6855
3,dCbacAba,20.05,76132,837454
4,BFDbaFdB,1150.52,3986826,43855088
5,AaDbfECC,2022.98,6842330,75265632
6,AcBCAaef,0.47,425,4677
7,daeBdCEB,83.88,320123,3521355
8,cBccEdbf,0.40,225,2477
9,DBCFCbeE,10.55,39178,430960
10,eDAaABaf,0.35,49,541
11,edecfdaa,445.39,1619657,17816229
12,ceeFCCea,35.49,131024,1441266
13,beaDebbd,29.46,109223,1201455
14,deDEfdCc,0.39,201,2213
15,ecFBbefF,0.34,5,57
16,DEebbccb,39.26,145816,1603978
17,cDAdAEcB,25.96,97294,1070236
18,cAeFdfbe,758.97,2682858,29511440
19,eaaEBdaA,0.55,787,8659
20,cDbfdDFB,0.34,2,24
21,fbaEDFEc,77.42,284059,3124651
22,AACfDbdB,0.35,14,156
23,aBaDDbfE,3.11,11001,121013
24,aDcdebeC,0.58,935,10287
25,CeEcBAba,0.63,1167,12839
26,bebbfDCc,0.34,6,68
27,FbBdAcAa,0.34,4,46
28,DAbADcDF,25.08,93192,1025114
29,faafdDcd,0.62,1127,12399
30,aFfccdbb,0.38,143,1575
31,AFEBDCFF,269.86,937052,10307574
32,fbcFffDa,0.46,410,4512
33,dDAfDCAE,0.39,181,1993
34,daCDfbfE,736.10,2604065,28644717
35,eACadFcA,3.83,13898,152880
36,ecFdfbAb,35.11,136499,1501491
37,FFBCBDbB,0.39,197,2169
38,aACEFede,0.34,5,57
39,EEAfEcEb,574.74,2088930,22978232
40,DadacbCb,362.96,1326701,14593713
41,BFcAfFbD,12.61,47161,518773
42,acfeDDCf,2726.94,9212959,101342551
43,dfFcDECf,0.45,371,4083
44,DBbdAFfc,0.35,2,24
45,FAECDFdc,60.09,233207,2565279
46,FbcFDAcB,0.36,80,882
47,eAEDaaDe,6.70,24867,273539
48,FebbaeaC,0.87,2084,22926
49,CaDeBEFD,0.57,884,9726
50,CFdbFeAa,0.37,110,1212
51,bdDbfFCC,0.36,76,838
52,AdcEeEeE,0.39,173,1905
53,bDeBCBcE,78.09,287186,3159048
54,BdcEbfeC,67.90,234699,2581691
55,BaBaDbdf,0.35,6,68
56,aDdBaAbE,0.35,2,24
57,aCfAbdeF,170.02,603256,6635818
58,bAbEcdAD,360.37,1288584,14174426
59,EFfAaFDe,0.35,4,46
60,cfcCDeBD,11.54,43987,483859
61,aAEeFdDE,0.34,2,24
62,BbfCbEEC,0.36,66,728
63,eCFfbBBD,0.34,4,46
64,edeDabAE,60.21,223841,2462253
65,ACfaFDfC,180.39,655524,7210766
66,bfFfdDDb,0.60,1022,11244
67,bdFdeCdb,1066.36,3846372,42310094
68,bEecAEcE,761.07,2689951,29589463
69,fEdFDEfA,9.52,35995,395947
70,ecDEBAEa,365.71,1319562,14515184
71,beDDfBEf,584.46,2073526,22808788
72,aEfdCddC,3.60,12083,132915
73,dbecbFAD,269.60,968788,10656670
74,fbFbDBEF,5.17,19183,211015
75,EfABCaBc,25.83,99607,1095679
76,eAdEFacB,41.13,151716,1668878
77,ecBEdBED,163.45,590558,6496140
78,facBDDbD,60.96,223506,2458568
79,eDAfBdad,1.36,4077,44849
80,faADaACb,0.34,4,46
81,eaCeEdAf,10.83,40708,447790
82,BcCcEAdE,436.98,1560918,17170100
83,dbeCEcED,29.21,110782,1218604
84,CeFeBdCf,20.98,76922,846144
85,ADfFbfbC,53.83,199476,2194238
86,dADDfaAd,7.55,28213,310345
87,aFAbAAcB,1711.37,5991242,65903664
88,feeFbCaB,0.38,120,1322
89,BACBBaDF,4.37,15822,174044
90,eeaBBCeC,0.36,52,574
91,BeaaeFCb,1.42,4304,47346
92,BeBbFDDc,38.20,148290,1631192
93,CccbaFfB,0.35,18,200
94,efdFcfAD,509.80,1618560,17804162
95,dbEFAcdB,6829.89,14097554,155073096
96,DAFFdFBb,28.08,105098,1156080
97,DaCefBed,242.62,860552,9466074
98,aBabcFaa,149.21,551819,6070011
99,bECFEfEC,103.72,384700,4231702
